question	answers	context
"David (Maguire) and his twin sister Jennifer (Witherspoon) lead different high-school social lives. Jennifer is shallow and extroverted; David is introverted and spends most of his time watching television. One evening while their mother, Sherry (Jane Kaczmarek), is away, they fight over the TV. Jennifer wants to watch a concert on MTV, but David wants to watch a marathon of Pleasantville, a black and white 1950s sitcom about the idyllic Parker family, who live in the squeaky-clean suburb of Pleasantville, Iowa. During the fight, the remote control breaks, and the TV cannot be turned on manually. A mysterious TV repairman (Knotts) shows up, quizzes David about Pleasantville, then gives him a strange remote control. The repairman leaves, and David and Jennifer resume fighting. However, they are then transported by the remote into the Parkers' black and white Pleasantville living room in 1958. David tries to reason with the repairman (with whom he communicates through the Parkers' television), but he succeeds only in chasing him away. With the remote no longer functioning, David and Jennifer must now pretend they are Bud and Mary Sue Parker, the son and daughter on the show. David and Jennifer witness the wholesome nature of the town, such as a group of firemen who only rescue cats stuck in trees, as there are no fires to fight. David tells Jennifer they must stay in character and not disrupt the lives of the town's citizens, who do not notice any difference between Bud and Mary Sue, and David and Jennifer. To keep the show's plot Jennifer dates a boy from high school, but, due to her impatience, Jennifer skips all forms of storybook romance and has sex with himâa concept unknown to him and everyone else in town. Slowly, Pleasantville begins changing from black and white to color, including flowers and the faces of people who have experienced bursts of emotion and personal transformation (usually through sex). Though against Jennifer's disruption at first, David eventually joins in when he begins to see the shows characters as real people and not just avatars. David introduces Mr. Johnson (Daniels), owner of the cheeseburger joint/soda shop where Bud works, to colorful modern art via a book from the library, sparking in him an interest in painting. Johnson and Betty Parker (Allen) fall in love, causing her to leave home, throwing George Parker (Macy), Bud and Mary Sue's father, into confusion. The only people who remain unchanged are the town's fathers, led by the mayor, Big Bob (Walsh in his final performance), who sees the changes eating at the values of Pleasantville. They resolve to do something about their increasingly independent wives and rebellious children. As the townsfolk become more colorful, a ban on ""colored"" people is initiated in public venues. Eventually, a riot is touched off by a nude painting of Betty (painted by Johnson) on the window of Mr. Johnson's soda shop. The soda shop is destroyed, books are burned, and people who are ""colored"" are harassed in the street. As a reaction, the town fathers announce rules preventing people from visiting the library, playing loud music, or using paint other than black, white, or gray. In protest, David and Mr. Johnson paint a colorful mural on a brick wall, depicting their world, prompting their arrest. Brought to trial in front of the town, David and Mr. Johnson defend their actions, and their passion begins to influence the non-colored members of the population into becoming colored. David also eventually arouses enough anger and indignation in Big Bob that the mayor becomes colored as well. The mayor runs off, effectively ending the segregation. With Pleasantville and its populace now in full color, Jennifer and David both reflect on how their actions in changing Pleasantville have changed their own views on how they perceive the real world and their place in it, noting that it had been far more difficult for them to become colorful as opposed to the other townsfolk, and the circumstances that eventually allowed them to. Jennifer stays to finish her education, citing that her poor academic record in the real world would not allow for college. David uses the remote control, now working again, to return to the real world, and surprises his mother with his newfound maturity. The mysterious TV repairman, who had been outside the house in his truck the whole time, smiles as he drives away."	['Parker family', 'Parker']	What is the name of the family that is the main focus in the Pleasantville television show?
"The first half of Futility introduces the hero John Rowland. Rowland is a disgraced former US Navy officer. Now an alcoholic fallen to the lowest levels of society, he's been dismissed from the Navy and works as a deckhand on the Titan. One April night the ship hits an iceberg, sinking somewhat before the halfway point of the novel. The second half follows Rowland. He saves the young daughter of a former lover by jumping onto the iceberg with her. The pair find a lifeboat washed up on the iceberg, and are eventually rescued by a passing ship. But the girl is recovered by her mother and Rowland is arrested for her kidnapping. A sympathetic magistrate discharges him and rebukes the mother for unsympathy to her daughter's savior. Rowland disappears from the world. In a brief final chapter covering several years, Rowland works his way up from homeless and anonymous fisherman to a desk job and finally, two years after passing his civil service exam, to ""a lucrative position under the Government, and as he seated himself at the desk in his office, could have been heared to remark: 'Now John Rowland, your future is your own. You have merely suffered in the past from a mistaken estimate of the importance of women and whisky.' THE END"" (1898 edition at Google Books). A later edition includes a coda. Rowland receives a letter from the mother, who congratulates him and pleads for him to visit her, and the girl who begs for him. (External links: undated edition at titanic-titanic.com)"	['The Titan', 'the Titan']	Rowland later became a deckhand upon waht ship?
"The novel tells the story of Jude Fawley, who lives in a village in southern England (part of Hardy's fictional county of Wessex), who yearns to be a scholar at ""Christminster"", a city modelled on Oxford. As a youth, Jude teaches himself Classical Greek and Latin in his spare time, while working first in his great-aunt's bakery, with the hope of entering university. But before he can try to do this the na誰ve Jude is seduced by Arabella Donn, a rather coarse and superficial local girl who traps him into marriage by pretending to be pregnant. The marriage is a failure, and they separate by mutual agreement, and Arabella later emigrates to Australia, where she enters into a bigamous marriage. By this time, Jude has abandoned his classical studies. After Arabella leaves him, Jude moves to Christminster and supports himself as a mason while studying alone, hoping to be able to enter the university later. There, he meets and falls in love with his free-spirited cousin, Sue Bridehead. But, shortly after this, Jude introduces Sue to his former schoolteacher, Mr. Phillotson, whom she eventually marries. However, she soon regrets this, because in addition to being in love with Jude, she is physically disgusted by her husband, and, apparently, by sex in general. Sue soon leaves Phillotson for Jude. Because of the scandal Phillotson has to give up his career as a schoolmaster. Sue and Jude spend some time living together without any sexual relationship, because of Sue's dislike both of sex and the institution of marriage. Soon after, Arabella reappears and this complicates matters. But Arabella and Jude divorce and she legally marries her bigamous husband, and Sue also is divorced. However, following this, Arabella reveals that she had a child of Jude's, eight months after they separated, and subsequently sends this child to his father. He is named Jude and nicknamed ""Little Father Time"" because of his intense seriousness and moroseness. Jude eventually convinces Sue to sleep with him and, over the years, they have two children together and expect the third. But Jude and Sue are socially ostracised for living together unmarried, especially after the children are born. Jude's employers dismiss him because of the illicit relationship, and the family is forced into a nomadic lifestyle, moving from town to town across Wessex seeking employment and housing before eventually returning to Christminster. Their socially troubled boy, ""Little Father Time"", comes to believe that he and his half-siblings are the source of the family's woes. The morning after their arrival in Christminster, he murders Sue's two children and commits suicide by hanging. He leaves behind a note that simply reads, ""Done because we are too menny."" Shortly thereafter, Sue has a miscarriage. Beside herself with grief and blaming herself for ""Little Father Time""'s actions, Sue turns to the church that she has rebelled against and comes to believe that the children's deaths were divine retribution for her relationship with Jude. Although horrified at the thought of resuming her marriage with Phillotson, she becomes convinced that, for religious reasons, she should never have left him. Arabella discovers Sue's feelings and informs Phillotson, who soon proposes they remarry. This results in Sue leaving Jude once again for Phillotson. Jude is devastated and remarries Arabella after she plies him with alcohol to once again trick him into marriage. After one final, desperate visit to Sue in freezing weather, Jude becomes seriously ill and dies within the year. It is revealed that Sue has grown ""staid and worn"" with Phillotson. Arabella fails to mourn Jude's passing, instead setting the stage to ensnare her next suitor. The events of Jude the Obscure occur over a 19-year period, but no dates are specifically given in the novel. Aged 11 at the beginning of the novel, by the time of his death, Jude seems much older than his thirty years, for he has experienced so much disappointment and grief in his total life experience. It would seem that his burdens exceeded his sheer ability to survive, much less to triumph."	['He got sick and died', 'he becomes ill and dies']	What happens to Jude after he visit Sue in the cold winter?
"The tale is set in a forest and begins with ""once upon a time"". Timmy Tiptoes is ""a little fat comfortable grey squirrel"" living in a nest thatched with leaves in the top of a tall tree with his little wife, Goody. Over the course of several days, the two collect nuts in their little sacks for the coming winter and spring, and store the nuts in hollow tree stumps near their home. Timmy wears a red jacket he removes while working, and his wife wears a pink dress and apron. When the stumps are full, the couple make use of a tree-hole that once belonged to a woodpecker. The nuts rattle ""down – down – down inside"", and Goody wonders how they will ever retrieve them. Timmy reminds her he will be much thinner by springtime and will be able to pass through the little hole. In an aside, the narrator tells the reader that the couple had great quantities of nuts because they never lost them, noting that most squirrels lose half their nuts because they cannot remember where they buried them. Silvertail is the most forgetful of squirrels in the wood, and, while trying to find his nuts, digs up another squirrel's hoard. A commotion erupts among the nutting squirrels, and, as ill luck would have it, a flock of birds fly by singing ""Who's bin [sic] digging-up my nuts?"" and ""Little bit-a-bread and-no-cheese!"" One bird finds a perch in the bush where Timmy is working and continues to sing about digging up nuts. The other squirrels take notice, suspect Timmy of robbing others of their hoards, rush upon him, scratch and cuff him, chase him up a tree, and stuff him with great difficulty through the woodpecker's hole. Silvertail suggests they leave him there until he confesses. Timmy lays ""stunned and still"" on the peck of nuts he has stored in the hollow tree while Goody searches fruitlessly for him. Eventually, Timmy stirs and discovers himself in a mossy little bed surrounded by ample provisions. Chippy Hackee, a small striped chipmunk, tends him with kindness, mentioning that it has been raining nuts through the top of tree and he has also ""found a few buried"". The chipmunk coaxes Timmy to eat the nuts and Timmy grows ""fatter and fatter!"" Goody is very concerned about her husband's disappearance, but has gone back to work collecting nuts and hiding them under a tree root. Mrs. Hackee, Chippy's wife, emerges from beneath the root to demand an explanation regarding the shower of nuts into her home. Eventually, the two ladies complain about their runaway husbands, but the chipmunk knows where her husband is camping-out because a little bird has told her. Together, they hurry to the woodpecker's hole and hear their husbands deep within the tree singing: ""My little old man and I fell out, How shall we bring this matter about? Bring it about as well as you can, And get you gone, you little old man!"" Mrs. Hackee refuses to enter the tree because her husband bites, but Goody calls to her husband and he comes to the hole with a kiss for her. He is too fat to squeeze through the hole, but Chippy Hackee (who is not too fat) refuses to leave and remains below chuckling. A fortnight later, a big wind blows off the top of the tree, and Timmy makes his escape. He hurries home through the rain, huddling under an umbrella with his wife. Chippy Hackee continues to camp-out in the tree stump for another week, but a bear comes lumbering through the neighbourhood (looking for nuts perhaps?) and Chippy decides it's time to hurry home. He suffers a cold in his head and is quite uncomfortable. Timmy now keeps the family nuts ""fastened up with a little padlock"", and Goody is seen in the accompanying illustration sitting outside the nest tending three tiny babies. ""And whenever that little bird sees the Chipmunks, he sings – 'Who's-been-digging-up my-nuts? Who's been digging-up my-nuts?' But nobody ever answers!"" Chippy Hackee and his wife are seen in the last illustration trying to drive the little bird away with their tree-leaf umbrella. Potter's idea to make the squirrel grow so fat he cannot escape the tree was imitated by A. A. Milne in Winnie the Pooh."	['In a forest.', 'a forest']	Where is the setting?
"Robert E. Howard set the story in Hyborian Africa. The Teeth of Gwahlur are legendary jewels, kept in the abandoned city of Alkmeenon, in the country of Keshan ""which in itself was considered mythical by many northern and western nations"". Conan, following legends of this treasure, has travelled to Keshan and offered his services to train and lead Keshan's army against their neighbour, Punt. However, Thutmekri, a Stygian rogue with similar intentions, and his Shemitish partner, Zargheba, also arrive in the country with an offer of a military alliance with another of Punt's neighbours, Zembabwei, with some of the Teeth to seal their pact. The high priest of Keshan, Gorulga, announces that a decision on the matter can only be made after consulting Yelaya, the mummified oracle of Alkmeenon. This is all the treasure hunters require. Zargheba joins Gorulga in his expedition while Conan travels ahead of them. In the abandoned city the initial atmosphere of the supernatural gives way to intrigue over the oracle. Zargheba has brought along a Corinthian slave girl, Muriela, to play the part of the oracle and tell the priests to hand all of the jewels to Thutmekri. Conan is first scared of the living oracle but quickly discovers the ruse. Intrigue and mystery follows as the imposter and the body of the genuine oracle switch and reappear. Gorulga, however, is an innocent in this, genuinely attempting to consult his oracle. However, a fourth faction appears. A Pelishti traveller, Bit-Yakin, had visited the valley of the lost city in the past. When the people of Keshan visited the site to worship Yelaya as a goddess, Bit-Yakin provided prophecies from a hiding place. Eventually he died there; his undying servants buried him as per his instructions, and, got rid of their master's control, massacred all priests from Keshan who attempted to visit the city and consult the oracle afterwards. Bit-Yakin's servants, revealed to be large, gray-furred ape-like creatures, kill the survivors of Gorulga's party when they attempt to claim the jewels. Conan manages to acquire the chest containing the jewels but is forced to abandon them to save Muriela. They escape together and Conan ends the story by outlining a new plan."	['To save Muriela.']	Why does Conan abandon his treasure?
"A wealthy American man named Longmore is introduced to his countrywoman Euphemia de Mauves, wife of the Comte Richard de Mauves. Longmore and Madame de Mauves become friends, and he visits her frequently in Paris. Superficially, Madam de Mauves leads a happy life with a wealthy and ""irreproachably polite"" husband, but Longmore soon becomes convinced that she harbours a deep sadness. It gradually becomes clear that the Comte is an unscrupulous and dissipated man who married his wife for her money alone. As a youth, Madame de Mauves had been naive and idealistic, believing that the Comte de Mauves' title guaranteed a fine character. The Comte, however, proved to have little regard for his wife, and had embarked on a series of extramarital affairs. Even his politeness ""was hardly more than a form of luxurious egotism, like his fondness for cambric handkerchiefs.... In after years he was terribly polite to his wife."" Madame de Mauves' faith in her ideals is destroyed, but she responds with stoic resignation. Longmore falls in love with Madame de Mauves, but, understanding that he cannot be her lover, and believing that she desperately needs a friend, he tries to sublimate his love into friendship. This attitude is reinforced by Madame de Mauves, who welcomes his friendship, but is hostile to any sentiment on his part. However both the Comte de Mauves and his sister, the crass widow Madame de Clairin, hint that Longmore should woo Madame de Mauves. The Comte wishes her to take a lover so that he may be free to pursue his own affair. As tensions mount, the Comte openly breaks with his wife, Madame de Clairin urges Longmore to woo Madame de Mauves, and then she tells Madame de Mauves what she has told Longmore. Longmore agonises over how to proceed; he finds it difficult even to decide to continue his daily visits: ""His presence now might be simply a gratuitous cause of suffering; and yet his absence might seem to imply that it was in the power of circumstances to make them ashamed to meet each other's eyes."" Eventually he visits Madame de Mauves, who rather cryptically asks him to confirm her very high opinion of him by doing the proper thing: ""Don't disappoint me. If you don't understand me now, you will to-morrow, or very soon. When I said just now that I had a very high opinion of you, I meant it very seriously. It was not a vain compliment. I believe that there is no appeal one may make to your generosity which can remain long unanswered. If this were to happen,—if I were to find you selfish where I thought you generous, narrow where I thought you large, ... vulgar where I thought you rare,—I should think worse of human nature. I should suffer,—I should suffer keenly. I should say to myself in the dull days of the future, 'There was one man who might have done so and so; and he, too, failed.' But this shall not be. You have made too good an impression on me not to make the very best. If you wish to please me forever, there's a way."" After much reflection, Longmore concludes that she wishes him to voluntarily break off contact — to do so not because she has dismissed him, not because there has been a 'scene', and not with any promise of meeting again in future, but simply because it is the honourable thing to do. The next day Longmore leaves for America. At his last meeting with the Comte he receives the impression that the Comte may be starting to repent of his behaviour; Longmore feels threatened by this: ""he felt that it would be far more tolerable in the future to think of his continued turpitude than of his repentance."" Longmore remains in love with Madame de Mauves, despite having had no contact with her. Two years later, he hears that the Comte has committed suicide. The Comte had indeed repented, and had begged his wife to forgive him, but Madame de Mauves had remained as stoically unforgiving as she had been stoic in her resignation: ""[H]e fell madly in love with her now. He was the proudest man in France, but he had begged her on his knees to be readmitted to favor. All in vain! She was stone, she was ice, she was outraged virtue. People noticed a great change in him: he gave up society, ceased to care for anything, looked shockingly. One fine day they learned that he had blown out his brains."" Euphemia is now free, and Longmore's first instinct is to go to her. However he puts off leaving for Europe from day to day for several years, because ""The truth is, that in the midst of all the ardent tenderness of his memory of Madame de Mauves, he has become conscious of a singular feeling,—a feeling for which awe would be hardly too strong a name."""	['Madame de Mauves', 'Euphemia']	Who is Longmore in love with?
"Mrs Bouncer, a London lodging-house keeper, is letting an apartment to a double tenantry – to Box, a printer on a daily newspaper, and to Cox, a journeyman hatter, the former occupying the room during the day, the latter during the night. They invariably meet on the stairs of the lodging-house when one comes in from work as the other is going out, but neither has any idea that Mrs Bouncer is letting his room to the other. Cox, suspicious that Mrs Bouncer has been using his flat during the day, complains to her that his coal keeps disappearing and there is ""a steady increase of evaporation among my candles, wood, sugar and lucifer matches."" He also complains that his room is continually full of tobacco smoke. Mrs Bouncer gives various excuses – among others, that Box, who, she says, occupies the attic, is a persistent smoker, and that his smoke must come down the chimney. Cox departs for his work at the hat shop, and on the stairs passes Box who is returning from the night shift at the newspaper. Box has brought home with him a rasher of bacon, which he at once prepares to cook. He lights the fire, is indignant that his matches have been used and his candles burnt low; for, being at home only during the day, he suspects Mrs Bouncer of these depredations. Leaving his bacon to cook, he retires to bed for a short nap. Cox then returns, having been given the day off by his employer. He has bought a mutton chop and, going to cook it on the gridiron, finds the fire already lit and the rasher of bacon on the gridiron. He removes it, puts his chop in its stead, and hurries into an adjoining room for a plate. The slamming of the door awakens Box, who, recollecting his bacon, leaps from the bed, and finds the chop where he had left the rasher. He angrily seizes the chop, flings it from the window, and leaves the room to fetch a plate. Cox re-enters, and, in lieu of his chop, discovers the rasher, which follows the chop out of the window. Box and Cox meet, each imagining the other to be an intruder, each pulling from his pocket the last week's receipt for rent, and each clamouring loudly for redress from the landlady. Mrs Bouncer is forced to explain the mystery, and she throws herself on the kindness of Box and Cox by promising either of them a handsome second floor back room, which she hurries off to prepare. Frustrated, Box asks, ""Hark ye, sir – can you fight?"" Cox answers, ""No, sir."" Box: ""No? Then come on!"" Agreeing, however, that they have no quarrel with each other, and that the whole mess is Mrs Bouncer's fault, Box and Cox converse civilly. It emerges that Cox is about to be married to a widow, Penelope Anne Wiggins, a prosperous proprietress of bathing machines at Margate and Ramsgate. Box is astonished, as he too had once been engaged to Mrs Wiggins, but, he reveals, he had struck on an ingenious plan to escape her clutches: he had pretended to commit suicide by drowning. Cox is equally reluctant to marry her. The two argue about which of them is obliged to do so, and eventually they call for pistols. When Mrs Bouncer goes to bring them, Cox cries, ""Stop! You don't mean to say ... that you keep loaded fire-arms in the house?"" ""Oh, no"", says Mrs Bouncer, ""they're not loaded"". Cox: ""Then produce the murderous weapons instantly!"" Meanwhile, the two agree to cast dice; the loser must marry Penelope Anne. Both have loaded dice, and at each successive throw they continue to throw sixes. The dice are then changed for shillings. At every toss each man's coin lands on heads, as both contestants are using double-headed coins. The impasse is broken when a letter arrives from Margate stating that Penelope Anne has drowned in a boating accident, and has left her property to her intended husband. Box and Cox now argue their claims to the bathing machines, but finally they agree to split the fortune. Now a second letter arrives, which states that Penelope Anne is quite safe and is on the road to London to claim her lover. Escape is now hopeless, and Box and Cox are in despair. A vehicle arrives, a knock resounds at the door, and Box and Cox place their backs to the door. Penelope Anne goes away again, leaving another letter revealing that she has decided to marry Mr Knox, an admirer nearer her own age. Box and Cox are delighted, and their happiness is completed by the realisation that they are brothers, who have been long separated (Box: ""Have you such a thing as a strawberry mark on your left arm?"" Cox: ""No!"" Box: ""Then it is he!""). They reject the second-floor back room and determine to reside permanently in the same room, and under the tenancy of the same landlady."	['He is a journeyman printer for the newspaper.', 'Mr. Box works for a newspaper during the evening.']	What is Box's occupation?
"Jerry was born in Santa Isabel Island, a part of the Solomon Islands archipelago. Jerry's owner was Mr. Haggin, who worked as a plantation guard and used Jerry to chase black slaves. Higgin gave Jerry to Mr. Van Horn, Captain of ship Arangi, under condition to return the dog if something bad happens. The ship was engaged in delivering so-called ""reverse"" slaves who worked for three years on a plantation. During a stop on Malaita island, Arangi was attacked by the natives, who killed the captain and skipper. Jerry was kicked from the ship, which was looted and burned. A native boy found Jerry in the sea and delivered the dog on the shore. Later, Jerry was brought to a village, where tribe chief Bashto decided to use Jerry for improving the breed of local dogs. Jerry received a taboo status and began to live among the tribemen. Jerry led a fairly quiet life until local sorcerer Agno decided to use the dog for a sacrifice. To overcome its taboo status, Agno arranged Jerry to attack a holy bird megapoda, which also had a taboo status. Jerry stole the bird eggs, which were kept for chief Bashta. Jerry was spotted while killing the fourth bird. The bird's taboo status was higher than that of Jerry; therefore, the dog could be sacrificed. However, old blindman Nalasu bought Jerry for a pig to protect himself against an expected vendetta. Later, the village was destroyed by Brits as a part of punitive operation to retaliate for the loss of Arangi. Jerry escaped and hid in the jungle. Having stayed there for a long time, Jerry began to look for people. Out in the beach, the dog saw a distant ship and plunged into the sea, thinking it is Arangi and hoping to see his beloved Captain Van Horn. The ship was the yacht Ariel traveling around the world. People on board noticed the dog and saved it. One of the crewmen recognized the dog and announced that it is a dog of Mr. Haggin form Santa Isabel Island. Later, the yacht arrived at Tulagi harbor, where a commissioner who new Mr. Haggin sent him a message. Mr. Haggin sailed to the island with dog Michael, who was the brother of Jerry. Tho brothersâJerry and Michaelâmet each other just to be separated ten days later. Jerry stayed on the yacht Ariel with its owner, Villa, while Michael stayed on the island. They met each other once again several years later in California."	['Ariel', 'Ariel.']	What was the name of the yacht that saved Jerry?
The Mysteries of Udolpho is a quintessential Gothic romance, replete with incidents of physical and psychological terror; remote, crumbling castles; seemingly supernatural events; a brooding, scheming villain; and a persecuted heroine. Modern editors point out that only about one-third of the novel is set in the eponymous Gothic castle, and that the tone and style vary markedly between sections of the work. Radcliffe also added extensive descriptions of exotic landscapes in the Pyrenees and Apennines, and of Venice, none of which she visited and for details of which she relied on contemporary travel books, leading to the introduction of several anachronisms. Set in 1584 in southern France and northern Italy, the novel focuses on the plight of Emily St. Aubert, a young French woman who is orphaned after the death of her father. Emily suffers imprisonment in the castle Udolpho at the hands of Signor Montoni, an Italian brigand who has married her aunt and guardian Madame Cheron. Emily's romance with the dashing Valancourt is frustrated by Montoni and others. Emily also investigates the mysterious relationship between her father and the Marchioness de Villeroi, and its connection to the castle at Udolpho.Emily St. Aubert is the only child of a landed rural family whose fortunes are now in decline. Emily and her father share an especially close bond, due to their shared appreciation for nature. After her mother's death from a serious illness, Emily and her father grow even closer. She accompanies him on a journey from their native Gascony, through the Pyrenees to the Mediterranean coast of Roussillon, over many mountainous landscapes. During the journey, they encounter Valancourt, a handsome man who also feels an almost mystical kinship with the natural world. Emily and Valancourt quickly fall in love. Emily's father succumbs to a long illness. Emily, now orphaned, is forced by his wishes to live with her aunt, Madame Cheron, who shares none of Emily's interests and shows little affection to her. Her aunt marries Montoni, a dubious nobleman from Italy. He wants his friend Count Morano to become Emily's husband, and tries to force her to marry him. After discovering that Morano is nearly ruined Montoni brings Emily and her aunt to his remote castle of Udolpho. Emily fears to have lost Valancourt forever. Morano searches for Emily and tries to carry her off secretly from Udolpho. Emily refuses to join him because her heart still belongs to Valancourt. Morano's attempt to escape is discovered by Montoni, who wounds the Count and chases him away. In the following months Montoni threatens his wife with violence to force her to sign over her properties in Toulouse, which upon her death would otherwise go to Emily. Without resigning her estate Madame Cheron dies of a severe illness caused by her husband's harshness. Many frightening but coincidental events happen within the castle, but Emily is able to flee from it with the help of her secret admirer Du Pont, who was a prisoner at Udolpho, and the servants Annette and Ludovico. Returning to the estate of her aunt, Emily learns that Valancourt went to Paris and lost his wealth. In the end she takes control of the property and is reunited with Valancourt.	['Her heart still belongs to Valencourt.', 'She still loves Valancourt.']	Why does Emily refuse to join Morano?
This Conan story is set in mythical Hyborian versions of IndiaâPakistan (then united) and Afghanistan (Vendhya and Ghulistan respectively). The death of Bunda Chand, King of Vendhya, via a curse channeled to his soul through a lock of his hair leads to the ascension of his sister, Devi Yasmina, who vows to get revenge on his killers, the Black Seers of Yimsha. Conan, meanwhile, has become chief of a tribe of Afghuli hillmen. Seven of his men have been captured by the Vendhyans and Yasmina intends to use them as collateral to force Conan to kill the Seers. However, Conan infiltrates the border fort where they are held and kidnaps the Devi instead (with the intent of exchanging her for the seven men). The problems are complicated by Kerim Shah, an agent of King Yezdigerd of Turan, who arranged Bunda Chand's death in order to lead an army through the mountains and invade in the subsequent confusion and turmoil. His contact with the Black Seers, Khemsa, has fallen in love with the Devi's maid Gitara. They decide to strike out on their own, kill the seven hillmen and pursue Conan and Yasmina to kill them both as well. Conan escapes into the Afghuli villages of the Zaibar Pass and Himelian Mountains (Hyborian equivalents of the Khyber pass and Himalayas). Yar Afzal, chief of the Wazuli village, is killed by Khemsa and the people turn against Conan, yet he manages to escape again with Yasmina. Khemsa again catches up with the pair but his attack is interrupted by four Rakhshas from Yimsha. His original masters kill Khemsa and Gitara, stun Conan and kidnap Yasmina. Khemsa survives a fall from the mountain-side long enough to give Conan a warning and a magic girdle. Shortly after, Kerim Shah and a group of Irakzai (Iraqis), also intent on capturing the Devi for King Yezdigerd, encounter Conan. They join together to rescue Yasmina, both open about their private reasons for doing so, and approach the mountain of Yimsha. Most of the men are killed in the attempt but, following Khemsa's warnings, Conan succeeds in killing the Black Seers and rescuing Yasmina. As they escape they encounter the Turanian army of King Yezdigerd in conflict with Conan's former hillmen (who blame him for the death of the seven captives). Despite their attitude, Conan feels obliged to assist but cannot abandon the Devi. This problem is resolved when a Vendhyan army, invading the mountains to rescue their Queen, arrives. Together, Conan with his Afghulis and Yasmina with her cavalry, they destroy the Turanian army. Conan leaves with the hillmen and the Devi returns to her country. Though they are strongly attracted to each other, the affair between Conan and Yasmina never gets beyond some kissing. Their respective roles pull them in opposite directions - she the Queen of Vendhiya, he the leader of roving hillemen engaged in constant robbery against her domain. In the original Howard stories, they never meet again. In the 1957 Return of Conan BjĂśrn Nyberg and L. Sprague de Camp let Conan and Yasmina meet again for one night of intensive love-making, many years later - when he is already King of Aquilonia and there is no more a conflict of interest.	['The mountain of Yimsha']	Where do the Black Seers who kidnapped Queen Devi Yasmina live?
